PLAYER,GP,AVG,TTL
JOHN FITZPATRICK,15,1.7,25.2
LUKE SCHOONMAKER,16,1.6,25.0
DEVONTEZ WALKER,10,2.5,25.0
LEQUINT ALLEN,16,1.6,24.8
JALEEL MCLAUGHLIN,7,3.5,24.6
IAN THOMAS,14,1.7,24.4
BO MELTON,15,1.6,24.2
RASHEEN ALI,14,1.7,24.2
MARQUEZ VALDES-SCANTLING,9,2.6,23.6
DONTE THORNTON,14,1.7,23.5
ANTONIO GIBSON,5,4.6,23.2
JOSH REYNOLDS,5,4.6,23.1
ALLEN LAZARD,10,2.3,23.0
DARE OGUNBOWALE,16,1.4,22.2
LUCAS HAVRISIK,3,7.3,22.0
MATTHEW WRIGHT,4,5.5,22.0
CURTIS SAMUEL,6,3.5,21.1
GEORGE HOLANI,10,2.1,20.8
JAMARI THRASH,9,2.3,20.7
MASON TIPTON,13,1.6,20.4
ASHTON DULIN,11,1.8,20.0
NICK WESTBROOK,14,1.4,19.9
CONNOR HEYWARD,15,1.3,19.9
WILL DISSLY,8,2.4,19.1
BREVYN SPANN-FORD,16,1.2,19.0
JARET PATTERSON,5,3.8,19.0
THEO WEASE,2,9.3,18.5
TANNER CONNER,9,2.0,18.1
CADE STOVER,8,2.3,18.0
JOHN BATES,14,1.3,18.0
CODY WHITE,9,2.0,18.0
KAMERON JOHNSON,16,1.1,17.7
JOHN MUNDT,15,1.2,17.5
BEN SAULS,2,8.5,17.0
MASON RUDOLPH,5,3.4,17.0
BEN SKOWRONEK,15,1.1,16.9
NATE ADKINS,8,2.1,16.8
JACK STOLL,15,1.1,16.6
RAHEIM SANDERS,4,4.0,16.0
GABRIEL DAVIS,5,3.2,15.8
ANDREW BECK,16,1.0,15.8
TYLER CONKLIN,9,1.7,15.7
ADAM PRENTICE,16,1.0,15.7
GUNNER OLSZEWSKI,15,1.0,15.6
CASEY WASHINGTON,7,2.2,15.4
BRAELON ALLEN,4,3.8,15.3
TERRELL JENNINGS,6,2.5,15.2
JAHDAE WALKER,6,2.5,15.1
JUDE MCATAMNEY,4,3.8,15.0
SKYY MOORE,16,0.9,14.8
MALIK HEATH,11,1.3,14.6
TYLAN WALLACE,13,1.1,14.5
WILL SHIPLEY,14,1.0,14.2
TRAYVEON WILLIAMS,6,2.4,14.1
RAY RAY MCCLOUD,6,2.3,13.9
XAVIER WEAVER,8,1.7,13.7
SHEDRICK JACKSON,4,3.4,13.5
ARIAN SMITH,15,0.9,13.3
NOAH BROWN,4,3.3,13.3
JOSH WHYLE,7,1.9,13.2
AUSTIN EKELER,3,4.4,13.1
MICHAEL BANDY,4,3.3,13.0
FOSTER MOREAU,11,1.2,12.9
CHRIS OLADOKUN,2,6.4,12.9
CHARLIE WOERNER,16,0.8,12.8
ALEC INGOLD,16,0.8,12.8
ANDREW OGLETREE,15,0.8,12.7
GRANT CALCATERRA,14,0.9,12.5
GAGE LARVADAIN,12,1.0,12.4
SCOTT MILLER,12,1.0,12.3
STONE SMARTT,8,1.5,12.2
EFTON CHISM,7,1.7,12.0
DARIUS COOPER,12,1.0,11.9
TREVOR ETIENNE,16,0.7,11.7
KEANDRE LAMBERT-SMITH,9,1.3,11.7
NAJEE HARRIS,3,3.9,11.6
RYAN MILLER,13,0.9,11.4
DYLAN DRUMMOND,8,1.4,11.2
ANTHONY FIRKSER,6,1.8,11.1
JAMES PROCHE,8,1.4,11.0
DAVID MARTIN-ROBINSON,14,0.8,10.6
ANDY DALTON,4,2.6,10.5
RILEY LEONARD,4,2.6,10.4
ROBBIE CHOSEN,3,3.4,10.3
QUINTIN MORRIS,12,0.8,10.0
BRAXTON BERRIOS,4,2.4,9.7
HASSAN HASKINS,12,0.8,9.7
BRITTAIN BROWN,2,4.9,9.7
KENNY PICKETT,5,1.9,9.7
JOSH JOHNSON,4,2.4,9.6
CEDRICK WILSON,9,1.0,9.4
KENE NWANGWU,9,1.0,9.1
KALEB JOHNSON,10,0.9,8.8
DANTE PETTIS,7,1.2,8.7
ALBERT OKWUEGBUNAM,1,8.6,8.6
JALIN HYATT,8,1.1,8.5
DELEON ESKRIDGE,13,0.6,8.2
JAYDON BLUE,4,2.0,8.0
MAX BROSMER,6,1.3,7.9
CJ HAM,10,0.8,7.9
AJ DILLON,6,1.3,7.8
DEVIN CULP,11,0.7,7.6
ZAMIR WHITE,4,1.9,7.6
TOM KENNEDY,5,1.5,7.6
AUSTIN TRAMMELL,6,1.3,7.6
CAM AKERS,3,2.4,7.2
BRENDEN BATES,8,0.9,7.2
XAVIER RESTREPO,2,3.6,7.1
MASON KINSEY,9,0.8,6.8
DAREKE YOUNG,8,0.9,6.8
DJ GIDDENS,8,0.8,6.6
DURHAM SMYTHE,16,0.4,6.5
TAHJ BROOKS,12,0.5,6.4
DEVEN THOMPKINS,6,1.0,6.2
JALEN BROOKS,5,1.2,6.1
KHADAREL HODGE,11,0.6,6.1
JOE MILTON,3,2.0,6.1
ERIC SAUBERT,10,0.6,6.1
JUSTIN WATSON,2,3.0,6.0
CHARLIE JONES,14,0.4,6.0
JAMES MITCHELL,4,1.5,5.8
DYLAN LAUBE,16,0.4,5.7
COOPER RUSH,4,1.4,5.7
TAI FELTON,13,0.4,5.5
EVAN HULL,5,1.1,5.3
TREY LANCE,3,1.7,5.2
TRENT SHERFIELD,12,0.4,5.1
SHANE ZYLSTRA,4,1.3,5.0
TYLER GOODSON,10,0.5,4.9
TIP REIMAN,5,1.0,4.8
DEVIN DUVERNAY,16,0.3,4.6
JORDAN WATKINS,5,0.9,4.6
RONNIE RIVERS,6,0.8,4.6
BEAUX COLLINS,9,0.5,4.5
COREY KINER,3,1.5,4.5
TAY MARTIN,3,1.4,4.3
NIKKO REMIGIO,14,0.3,4.2
CLYDE EDWARDS-HELAIRE,2,2.1,4.2
JARED WAYNE,1,4.0,4.0
JULIUS CHESTNUT,16,0.3,4.0
NATHAN CARTER,3,1.3,4.0
JAKE BOBO,10,0.4,4.0
KYLEN GRANSON,16,0.3,4.0
TUCKER FISK,10,0.4,3.9
COLSON YANKOFF,13,0.3,3.8
ZAIRE MITCHELL-PADEN,8,0.5,3.7
LUCAS KRULL,4,0.9,3.5
JONATHAN MINGO,5,0.7,3.5
BEN SIMS,8,0.4,3.2
